valid, idx, real
1,          14,  14496
1,          15,  14511
1,           0,  14527
1,           1,  14541
1,           2,  14555
1,           3,  14569
1,           4,  14584
1,           5,  14597
1,           6,  14610
1,           7,  14623
1,           8,  14637
1,           9,  14650
1,          10,  14662
1,          11,  14674
1,          12,  14687
1,          13,  14698
1,          14,  14710
1,          15,  14721
1,           0,  14733
1,           1,  14744
1,           2,  14755
1,           3,  14765
1,           4,  14775
1,           5,  14785
1,           6,  14794
1,           7,  14805
1,           8,  14814
1,           9,  14823
1,          10,  14832
1,          11,  14841
1,          12,  14849
1,          13,  14857
1,          14,  14865
1,          15,  14873
1,           0,  14880
1,           1,  14888
1,           2,  14895
1,           3,  14902
1,           4,  14908
1,           5,  14915
1,           6,  14921
1,           7,  14927
1,           8,  14932
1,           9,  14937
1,          10,  14943
1,          11,  14948
1,          12,  14952
1,          13,  14957
1,          14,  14962
1,          15,  14965
1,           0,  14969
1,           1,  14972
1,           2,  14976
1,           3,  14979
1,           4,  14982
1,           5,  14985
1,           6,  14987
1,           7,  14989
1,           8,  14991
1,           9,  14993
1,          10,  14994
1,          11,  14996
1,          12,  14997
1,          13,  14998
1,          14,  14998
1,          15,  14999
1,           0,  14999
1,           1,  14999
1,           2,  14998
1,           3,  14998
1,           4,  14997
1,           5,  14996
1,           6,  14994
1,           7,  14993
1,           8,  14991
1,           9,  14989
1,          10,  14987
1,          11,  14985
1,          12,  14982
1,          13,  14979
1,          14,  14976
1,          15,  14973
1,           0,  14969
1,           1,  14965
1,           2,  14961
1,           3,  14956
1,           4,  14952
1,           5,  14947
1,           6,  14942
1,           7,  14937
1,           8,  14932
1,           9,  14926
1,          10,  14920
1,          11,  14914
1,          12,  14907
1,          13,  14901
1,          14,  14894
1,          15,  14887
1,           0,  14880
1,           1,  14873
1,           2,  14865
1,           3,  14858
1,           4,  14849
1,           5,  14841
1,           6,  14832
1,           7,  14824
1,           8,  14815
1,           9,  14805
1,          10,  14796
1,          11,  14786
1,          12,  14776
1,          13,  14765
1,          14,  14755
1,          15,  14745
1,           0,  14732
1,           1,  14721
1,           2,  14710
1,           3,  14698
1,           4,  14687
1,           5,  14674
1,           6,  14662
1,           7,  14650
1,           8,  14637
1,           9,  14623
1,          10,  14610
1,          11,  14597
1,          12,  14584
1,          13,  14569
1,          14,  14555
1,          15,  14541
1,           0,  14528
1,           1,  14513
1,           2,  14498
1,           3,  14483
1,           4,  14468
1,           5,  14452
1,           6,  14436
